gene,¦Â2AR-APEX2(BI167107),DOR-APEX2,CCDC68,CCDC120,LiMoCentrosome,Endosomal-APEX2,AT1R-APEX2(AngII),AT1R-APEX2(TRV027)
A0AV96,0,0,0,1,0,0,0,0
A0AVT1,1,1,1,0,1,1,0,0
A0FGR8,0,0,1,1,1,0,0,1
A0JNW5,1,1,0,0,0,1,0,0
A0MZ66,1,1,0,0,0,1,0,0
A0PJW6,0,0,0,1,0,0,0,0
A1KXE4,0,0,1,1,0,0,0,0
A1L020,0,0,0,1,0,0,0,0
A1L0T0,0,0,1,0,1,0,0,0
A1L170,1,0,0,0,0,0,0,0
A1L390,1,0,0,1,0,0,0,0
A1L4H1,0,0,1,0,0,0,0,0
A1X283,1,0,1,1,0,0,0,0
A2IDD5,0,0,1,0,0,0,0,0
A2RTX5,1,0,0,0,0,0,0,0
A2RU67,1,0,0,0,0,0,0,0
A2RUB1,0,1,0,0,0,1,0,0
A2VDJ0,1,1,0,0,0,1,0,0
A3KMH1,0,0,0,1,0,0,0,0
A3KN83,0,0,0,0,1,0,0,0
A4D1E9,0,0,0,1,0,0,0,0
A4D1P6,1,1,0,0,0,1,0,0
A4D1S5,0,0,0,1,0,0,0,0
A4D1U4,1,0,0,0,0,0,0,0
A4FU69,0,1,0,0,0,1,0,0
A5A3E0,0,0,0,1,0,0,0,0
A5D8V6,1,0,1,0,1,0,0,0
A5YKK6,1,1,1,1,1,1,0,0
A6NCN2,0,1,0,0,0,0,0,0
A6NDB9,1,0,0,0,0,0,0,0
A6NDG6,1,0,1,1,1,0,0,0
A6NDU8,1,1,0,0,0,1,0,0
A6NG32,1,0,0,0,0,0,0,0
A6NHR9,0,1,0,1,0,1,0,0
A6NI28,0,0,0,1,0,0,0,0
A6NJ78,1,0,0,0,0,0,0,0
A6NKD9,1,0,0,0,0,0,0,0
A6QL63,0,0,0,1,0,0,0,0
A7E2V4,0,1,0,0,0,1,0,0
A7KAX9,1,0,0,0,0,0,0,0
A8K855,0,0,0,1,0,0,0,0
A8MUK1,0,0,1,0,0,0,0,0
A8MVW0,1,0,0,0,0,0,0,0
A8MXV4,0,0,1,0,0,0,0,0
A8MY62,0,0,0,1,0,0,0,0
B1AJZ9,0,0,0,1,0,0,0,0
B1AKC7,1,0,0,0,0,0,0,0
B2RTY4,1,0,0,0,0,0,0,0
B4DLE8,1,0,0,0,0,0,0,0
B4DS50,1,0,0,0,0,0,0,0
B5ME19,1,0,1,1,1,0,0,0
B7Z4N8,1,0,0,0,0,0,1,0
B7ZAP0,0,0,1,0,0,0,0,0
B7ZAQ6,0,0,0,0,1,0,0,0
B7ZLX3,0,0,0,0,0,0,0,1
B8ZZ34,1,0,0,0,0,0,0,0
B9A064,0,0,1,1,0,0,0,0
C9JH25,1,0,0,0,0,0,0,0
C9JLJ4,0,1,0,0,0,1,0,0
E7EQT4,0,0,0,0,0,0,0,1
E7ESS2,1,0,0,0,0,0,0,0
