gene,AT1R-APEX2(AngII),AT1R-APEX2(TRV027),β2AR-APEX2(BI167107),Endosomal-APEX2,DOR-APEX2,CCDC68,CCDC120
A0AV96,0,0,0,0,0,0,1
A0AVT1,0,0,1,1,1,1,0
A0FGR8,0,0,0,0,0,1,1
A0FGR8-6,0,1,0,0,0,0,0
A0JNW5,0,0,1,1,1,0,0
A0MZ66,0,0,0,1,1,0,0
A0MZ66-3,0,0,1,0,0,0,0
A0PJW6,0,0,0,0,0,0,1
A1KXE4,0,0,0,0,0,1,1
A1L020,0,0,0,0,0,0,1
A1L0T0,0,0,0,0,0,1,0
A1L170-2,0,0,1,0,0,0,0
A1L390,0,0,1,0,0,0,1
A1L4H1,0,0,0,0,0,1,0
A1X283,0,0,1,0,0,1,1
A2IDD5,0,0,0,0,0,1,0
A2RTX5,0,0,1,0,0,0,0
A2RU67,0,0,1,0,0,0,0
A2RUB1,0,0,0,1,1,0,0
A2VDJ0,0,0,0,1,1,0,0
A2VDJ0-5,0,0,1,0,0,0,0
A3KMH1,0,0,0,0,0,0,1
A4D1E9,0,0,0,0,0,0,1
A4D1P6,0,0,1,1,1,0,0
A4D1S5,0,0,0,0,0,0,1
A4D1U4,0,0,1,0,0,0,0
A4FU69,0,0,0,1,1,0,0
A5A3E0,0,0,0,0,0,0,1
A5D8V6,0,0,1,0,0,1,0
A5YKK6,0,0,1,1,1,1,1
A6NCN2,0,0,0,0,1,0,0
A6NDB9,0,0,1,0,0,0,0
A6NDG6,0,0,1,0,0,1,1
A6NDU8,0,0,1,1,1,0,0
A6NG32,0,0,1,0,0,0,0
A6NHR9,0,0,0,1,1,0,1
A6NI28,0,0,0,0,0,0,1
A6NJ78,0,0,1,0,0,0,0
A6NKD9,0,0,1,0,0,0,0
A6QL63,0,0,0,0,0,0,1
A7E2V4,0,0,0,1,1,0,0
A7KAX9,0,0,1,0,0,0,0
A8K855,0,0,0,0,0,0,1
A8MUK1,0,0,0,0,0,1,0
A8MVW0,0,0,1,0,0,0,0
A8MXV4,0,0,0,0,0,1,0
A8MY62,0,0,0,0,0,0,1
B1AJZ9,0,0,0,0,0,0,1
B1AKC7,0,0,1,0,0,0,0
B2RTY4-4,0,0,1,0,0,0,0
B4DLE8,0,0,1,0,0,0,0
B4DS50,0,0,1,0,0,0,0
B5ME19,0,0,1,0,0,1,1
B7Z4N8,1,0,1,0,0,0,0
B7ZAP0,0,0,0,0,0,1,0
B7ZLX3,0,1,0,0,0,0,0
B8ZZ34,0,0,1,0,0,0,0
B9A064,0,0,0,0,0,1,1
C9JH25,0,0,1,0,0,0,0
C9JLJ4,0,0,0,1,1,0,0
E7EQT4,0,1,0,0,0,0,0
E7ESS2,0,0,1,0,0,0,0
E7EUI6,0,0,1,0,0,0,0
E7EW49,0,0,1,0,0,0,0
E9PAU2,0,1,0,0,0,0,0
E9PAV3,0,0,0,0,0,1,1
E9PF99,0,0,1,0,0,0,0
E9PFY5,0,0,1,0,0,0,0
E9PKC0,0,0,1,0,0,0,0
E9PNW5,1,1,1,0,0,0,0
E9PPI9,1,0,0,0,0,0,0
E9PRG8,0,0,0,0,0,0,1
E9PRW2,0,0,1,0,0,0,0
F5GWJ1,1,1,0,0,0,0,0
F5H7W5,0,0,1,0,0,0,0
F8VWL3,0,0,1,0,0,0,0
F8W7J9,0,0,1,0,0,0,0
F8W950,0,0,1,0,0,0,0
F8WEM5,0,1,0,0,0,0,0
FYVE,0,0,0,0,1,0,0
G3V1L9,0,0,1,0,0,0,0
G3V2L1,0,0,1,0,0,0,0
G3XAB3,0,0,1,0,0,0,0
G5E9E7,0,1,0,0,0,0,0
G5E9Z2,0,0,1,0,0,0,0
H0Y5B0,0,0,1,0,0,0,0
H0Y827,0,0,1,0,0,0,0
H0YBE0,0,0,1,0,0,0,0
H0YDF6,0,0,1,0,0,0,0
H0YGQ3,0,0,1,0,0,0,0
H0YJW4,0,0,1,0,0,0,0
H0YLM1,0,0,1,0,0,0,0
H3BU53,0,1,0,0,0,0,0
H3BUY5,0,0,1,0,0,0,0
H7BZ67,0,0,1,0,0,0,0
H7BZJ3,0,0,1,0,0,0,0
H7C144,0,0,1,0,0,0,0
H7C3M7,0,1,1,0,0,0,0
I3L2B0,0,0,1,0,0,0,0
J3KN66,0,1,1,0,0,0,0
J3KNL6,0,0,1,0,0,0,0
K7EJH8,0,1,1,0,0,0,0
K7ELL7,0,0,1,0,0,0,0
K7ERV3,0,0,1,0,0,0,0
O00115,0,0,1,0,0,0,0
O00116,0,0,0,0,0,1,1
O00139,0,0,0,1,1,1,1
O00139-4,0,0,1,0,0,0,0
O00148,0,0,0,0,0,1,0
O00151,1,1,1,1,1,1,1
O00154,0,0,1,1,1,1,0
O00159,1,1,1,1,1,1,1
O00161,1,1,1,1,1,1,0
O00165,0,0,0,0,0,1,1
O00170,0,1,1,1,1,1,1
O00178,0,1,1,1,1,1,1
O00186,1,1,1,1,1,1,0
O00192,0,0,1,1,1,0,0
O00193,0,0,0,1,1,0,0
O00203,0,1,1,1,1,1,0
O00213,0,0,1,1,1,0,0
O00231,0,0,0,0,0,0,1
O00231-2,0,0,1,0,0,0,0
O00232,0,0,1,0,0,0,1
O00233,1,0,1,0,0,1,1
O00244,1,1,1,0,0,0,0
O00255,0,0,0,0,0,1,0
O00257,0,0,0,0,0,0,1
O00264,1,0,1,0,0,0,1
O00267,0,1,1,0,0,1,1
O00268,0,0,0,0,0,1,0
O00273,0,0,1,0,0,1,0
O00291,0,0,0,0,0,0,1
O00294,0,0,0,0,0,0,1
O00299,1,1,1,1,1,1,1
O00303,0,0,1,1,1,1,1
O00308,0,0,0,0,1,0,0
O00330,0,0,0,0,0,0,1
O00399,0,0,1,0,0,0,0
O00400,0,0,1,0,0,0,0
O00401,0,0,1,0,1,0,0
O00410,0,0,0,1,1,1,1
O00410-3,1,1,1,0,0,0,0
O00411,0,0,0,0,0,1,1
O00418,0,0,1,0,0,0,0
O00422,1,1,0,1,1,0,1
O00425,1,1,1,1,1,1,1
O00429,0,0,0,1,1,1,1
O00429-6,0,0,1,0,0,0,0
O00442,0,0,0,0,0,1,1
O00443,0,1,1,1,1,1,1
O00458,0,0,1,0,0,0,1
O00459,0,0,1,1,1,0,0
O00461,0,0,1,0,0,0,1
O00462,0,0,1,0,0,0,0
O00468,0,0,0,0,1,0,0
O00468-7,0,0,1,0,0,0,0
O00469,0,0,0,0,0,1,1
O00469-2,0,0,1,0,0,0,0
O00471,0,0,1,0,0,0,0
O00478,0,0,1,0,0,0,0
O00479,1,1,0,0,0,0,0
O00483,1,1,0,0,0,0,0
O00487,0,0,0,1,1,1,1
O00488,0,1,0,0,0,0,0
O00505,0,0,1,1,1,0,1
O00522,0,0,1,0,0,0,0
O00541,1,1,1,1,1,1,1
O00560,0,0,1,0,0,1,1
O00566,1,1,0,0,0,0,1
O00567,1,1,1,1,1,1,1
O00571,1,1,1,1,1,1,1
O00584,0,0,1,0,0,0,0
O00592,1,1,1,0,0,0,0
O00622,0,0,1,0,0,0,1
O00625,0,0,0,0,0,1,0
O00629,0,1,1,1,1,0,1
O00635,0,0,0,0,0,1,0
O00712,0,0,0,0,0,0,1
O00743,0,0,0,0,0,1,1
O00743-3,0,1,1,0,0,0,0
O00748,0,0,1,0,0,0,0
O00754,0,0,1,0,0,0,0
O00762,0,0,1,0,0,0,0
O00763,1,1,1,0,0,1,0
O00764,0,0,0,0,0,1,1
O00767,1,1,1,0,0,1,1
O14495,0,0,1,0,0,0,0
O14497,0,0,1,0,0,0,1
O14524,0,0,1,0,0,0,1
O14525,0,0,1,1,1,0,0
O14530,0,0,0,1,1,0,1
O14531,0,0,0,0,0,1,0
O14543,0,0,0,0,0,1,0
O14544,0,0,1,0,0,0,0
O14545,0,0,1,1,1,1,1
O14556,0,0,0,0,0,1,1
O14559,0,0,0,0,0,1,0
O14562,0,0,1,0,0,1,0
O14578,0,0,0,1,1,0,0
O14579,0,0,0,1,1,1,1
O14602,0,0,0,0,0,0,1
O14617,0,0,0,1,1,1,1
O14617-5,1,1,1,0,0,0,0
O14618,0,0,0,0,0,1,0
O14639,1,1,1,1,1,0,1
O14639-5,0,0,1,0,0,0,0
O14640,0,0,1,0,0,0,0
O14641,0,0,1,1,1,1,1
O14646,0,1,0,0,0,0,1
O14654,1,1,1,0,0,1,0
O14656,0,0,1,0,0,0,0
O14657,0,0,1,0,0,0,0
O14662,0,0,0,0,1,0,0
O14668,0,0,0,0,0,0,1
O14672,0,1,1,0,0,0,0
O14681,0,0,0,0,0,0,1
O14683,0,0,0,0,1,0,0
O14727,0,0,0,0,0,1,0
O14730,0,0,1,0,0,0,0
O14732,0,0,0,0,0,0,1
O14733,0,0,0,0,0,1,0
O14734,0,0,0,0,0,1,1
O14735,0,0,0,0,0,0,1
O14737,1,1,1,1,1,0,0
O14744,0,0,1,1,1,1,1
O14745,1,1,1,1,1,0,1
O14757,0,0,0,1,1,1,0
O14772,0,0,0,0,0,1,0
O14773,0,0,1,0,0,0,0
O14776,1,1,0,0,0,1,1
O14777,0,0,1,0,0,0,1
O14786,1,0,1,0,0,0,0
O14795,0,0,1,0,0,0,0
O14802,0,0,0,0,1,1,0
O14817,0,0,1,0,0,0,0
O14818,0,1,1,0,0,1,1
O14827,0,0,0,0,0,1,0
O14828,1,1,1,1,1,1,1
O14867,0,0,1,1,1,0,0
O14874,0,0,0,0,0,1,1
O14879,0,0,0,0,0,0,1
O14880,0,0,0,1,1,0,0
O14893,0,0,0,0,0,0,1
O14907,1,1,1,0,0,0,0
O14908,0,1,1,0,0,1,1
O14910,0,0,0,0,0,1,0
O14929,0,0,0,1,1,1,0
O14936,0,1,1,1,1,1,0
O14936-4,1,0,0,0,0,0,0
O14950,0,1,1,0,0,0,1
O14964,1,1,1,1,1,1,1
O14965,0,1,1,1,1,1,1
O14966,0,0,1,0,0,0,1
O14967,0,0,1,0,0,0,0
O14972,0,0,1,0,0,0,0
O14974,1,1,1,1,1,1,1
O14975,0,0,1,0,0,0,1
O14976,0,1,1,0,0,1,0
O14979,1,1,1,0,1,1,1
O14980,0,1,1,1,1,1,1
O14981,0,0,0,0,0,1,0
O15013,0,0,1,0,0,0,0
O15014,0,0,0,0,0,0,1
O15020,1,1,1,1,1,0,1
O15021,0,0,1,0,0,0,0
O15027,0,0,0,1,1,1,1
O15027-5,0,1,0,0,0,0,0
O15031,0,1,1,1,1,0,1
O15037,0,0,1,0,0,0,0
O15042,1,1,0,1,1,0,1
O15049,0,0,0,0,0,0,1
O15061,0,0,0,0,0,0,1
O15063,0,0,1,0,0,0,0
O15067,1,1,1,1,1,1,0
O15084,0,0,0,1,1,0,1
